group,prefix,error_release_1,reasoning_release_1,relevance_release_1,validness_release_1,newInformation_release_1,error_release_2,reasoning_release_2,relevance_release_2,validness_release_2,newInformation_release_2,error_release_3,reasoning_release_3,relevance_release_3,validness_release_3,newInformation_release_3
full_1,3000_1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
full_1,3000_2,0,1,1,1,1,0,1,1,1,0,0,1,1,1,1
full_1,3000_3,0,1,1,1,1,0,0,0,0,0,1,1,1,1,1
full_1,3000_4,0,1,1,1,1,0,1,1,1,0,0,1,1,1,1
full_1,3001_1,0,1,1,1,1,0,1,1,1,0,0,1,1,1,1
full_1,3001_2,0,1,1,1,1,0,0,0,0,0,0,1,1,1,1
full_1,3001_3,0,1,1,1,1,0,1,1,1,0,0,1,1,1,1
full_1,3002_1,0,1,1,1,1,0,1,1,1,0,0,1,1,1,1
full_1,3002_2,0,1,1,1,1,0,0,0,0,0,1,0,1,1,0
full_1,3002_3,0,1,1,1,1,0,0,0,0,0,0,1,0,1,1
full_1,3003_1,0,1,1,1,1,0,1,1,1,0,0,1,1,1,1
full_1,3003_2,0,1,1,1,1,0,1,1,1,0,0,1,1,1,1
full_1,3003_3,0,1,1,1,1,0,0,0,0,0,0,1,1,1,1
full_1,3003_4,0,1,1,1,1,0,1,1,1,0,1,1,1,1,0
full_1,3003_5,0,1,1,1,1,0,1,1,1,0,0,0,0,0,0
full_1,3004_1,0,1,1,1,1,0,1,1,1,0,0,1,1,1,1
full_1,3004_2,0,1,1,1,1,0,0,0,0,0,0,1,1,1,1
full_1,3004_3,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
full_1,3004_4,0,1,1,1,1,0,0,0,0,0,0,1,1,1,1
full_1,3004_5,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
full_1,3004_6,0,1,1,1,1,0,0,0,0,0,0,1,1,1,1
full_1,3005_1,0,1,1,1,1,0,0,0,0,0,0,1,1,1,1
full_1,3005_2,0,1,0,1,1,0,0,0,0,0,0,1,1,1,1
full_1,3005_3,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
full_1,3005_4,0,1,1,1,1,0,0,0,0,0,0,1,1,1,1
